EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA)
"길을 잃어서, 우리는 왔던 길로 돌아가야 했다.","Because we were lost, we had to go back the way we came.","道に迷って, 私たちは来た道を帰らざるを得なかった。"
그래서 넌 그때 뭐라고 했니? ,So what did you say at that time?,それでお前はその時何と言ったの? 
나는 낮에 자고 밤에 일어난다.,I sleep during the day and wake up at night.,私は昼に寝て夜起きる。
너 왜 재즈를 싫어하는 거야?,Why do you hate jazz?,お前どうしてジャズが嫌いなのか?
나중에 보자.,See you later.,後で会おう。
기차가 곧 도착할 거야.,The train will be arriving shortly.,汽車がすぐ到着するだろう。
지금 어디 계세요?,Where are you now?,今どこにいらっしゃいますか?
나는 내년에 고등학생이 된다.,I'll be in high school next year.,私は来年高校生になる。
식사 후에 식탁을 치워주세요.,"After meals, please clear the dining table.",食事後に食卓を片付けてください。
햄버거 두 개랑 콜라 주세요.,"Two hamburgers and one cola to go, please.",ハンバーガー二つとコーラください。
그 차는 어둠 속으로 사라졌다.,The car disappeared into the dark.,その車は闇の中に消えた。
비 온다. 우산 펴.,It's raining. Open the umbrella.,雨降ってる。 傘を差せ。
나는 생선과 채소만 먹어요.,I eat only fish and vegetables.,私は魚と野菜しか食べません。
밖에서 자전거 타도 돼요? ,Can I ride my bicycle outside?,外で自転車に乗っても良いですか? 
비가 오는 바람에 경기가 취소되었다.,The game was canceled because of the rain.,雨が降ったおがげで競技が取り消された。
어떤 아파트를 찾고 계세요?,What apartment are you looking for?,どんなアパートを探していらっしゃいますか?
그쪽으로 가는 버스가 있나요?,Is there a bus going that way?,そっちの方へ行くバスがありますか?
이 고양이는 털이 아주 부드러워.,This cat has very soft fur.,この猫は毛がとても柔らかい。
인터넷으로 닭고기 스프 요리법 좀 찾아봐.,Please look up a recipe for chicken soup on the internet.,インターネットで鳥肉スープの作り方ちょっと探してみて。
지금은 기다리는 수밖에 없어.,There's no other way but to just wait.,今は待つしか仕方がない。
나는 도시에서 혼자 살고 부모님은 시골에 사셔.,I live alone in the city and my parents live in the country.,私は都市で一人で生活して両親は田舍で住んでいる。
그 이야기는 인터넷을 통해 모두에게 알려졌다.,The story became known to everyone through the internet.,その話はインターネットを通じて皆に知らされた。
우리 전에 만난 적 있나요?,Have we met before?,私たち前に会った事あるんですか?
그냥 친구 사이에요. ,We're just friends.,ただの友達の仲です。 
이 떡 먹어봤니? 맛있어.,Have you ever tried this rice cake? It's delicious.,この餠食べて見た? おいしいよ。
보통 몇 시에 주무세요?,What time do you usually go to bed?,普通何時におやすみですか?
어떤 계절을 제일 좋아하세요?,What season do you like best?,どんな季節が一番好きですか?
글자 크기는 바꿀 수 있습니다. ,You can change the font size.,字の大きさは変えることができます。 
이 물건들을 가방에 담아.,Put this item in a bag.,この品物をかばんに入れなさい。
커피? 아니면 차?,Coffee? Or tea?,コーヒー? それともお茶?
이 강의에서는 노트에 적어도 됩니다.,You can take notes in this lecture.,この講義ではノートに書いても良いです。
컴퓨터가 또 고장 났네!,My computer is out of order again!,コンピューターがまた故障したな!
"공연이 시작되면, 소리를 내지 말아주세요.","When the concert starts, please don't make any sounds.","公演が始った後は, 音を出さないでください。"
우리 회사에는 일하는 사람이 적다.,There are few men working at my company.,当社には働き手が少ない。
"너 약속 지키는 거, 난 한 번도 못 봤어. ",I've never seen you keep any promises.,"お前が約束守るの, 私は一度も見たことが無い。 "
말은 쉽다. 직접 해 봐.,It's easy for you to say. Do it yourself.,言うのは簡単だよ。 直接やってごらん。
학생들을 한 줄로 세우세요.,Make the students stand in a row.,学生たちを一列に並ばせてください。
"아주머니, 여기가 어디예요?","Madam, where am I?","おばさん, ここはどこですか?"
감사합니다.,Thank you.,ありがとうございます。
저것 좀 봐. 강아지가 다리를 다쳤어! ,Look at that. A puppy with an injured leg!,あれ見て。 子犬が足をけがした! 
에어컨 좀 켜도 될까요? ,Would you mind if I turned on the air conditioner?,エアコンちょっとつけても良いでしょうか? 
너는 날 얼마나 사랑해?,How much do you love me?,お前は私をどれ位愛してる?
해가 바뀌어도 변함없이 해는 뜬다.,The sun rises the same though a new year begins.,年が変わっても相変わらず日は昇る。
항상 너와 함께 있을게.,I'll always be with you.,いつもお前と一緒にいる。
100미터를 몇 초에 뛰세요? ,How many seconds does it take you to run 100 meters?,100メートルを何秒で走れますか? 
그것은 내게 고통스러운 기억이다.,It's a painful memory for me.,それは私にとって苦しい記憶だ。
아직도 출발 안 했어? ,Haven't you left yet?,まだ出発してなかったの? 
큰 코가 그 사람 얼굴의 특징이야.,His big nose is the central feature of his face.,大きい鼻がその人顔の特徴だ。
"집에 돌아왔을 때, 남편은 소파를 청소하고 있었다.","When I returned home, my husband was cleaning the sofa.","家に帰って来た時, 夫はソファーをきれいにしていた。"
그 공원은 얼마나 커요?,How big is the park?,その公園はどれぐらい大きいですか?
쇠고기와 돼지고기 중에 어느 것이 더 싼가요?,"Which is cheaper, beef or pork?",牛肉と豚肉のうちどちらがより安いんでしょうか?
왼쪽에 있는 빨간 버튼을 누르세요.,Press the red button on your left.,左側にある赤いボタンを押してください。
길을 묻는 것은 나에겐 너무 어려운 일이다.,Asking for directions is hard for me to do.,道を尋ねることは私にとってとても難しい事だ。
장난이 지나치시네요.,Your pranks have gone too far.,いたずらの度が少し過ぎるではありませんか。
선생님 책상에 개구리를 넣은 사람은 나야.,I put a frog in my teacher's desk.,先生の机に蛙を入れた人は僕だ。
너 만화책 좋아하니? ,Do you like comic books?,お前マンガ好き? 
바다에 도착하면 마음이 바뀔지도 몰라.,You may change your mind when you get to the sea.,海に到着したら心が代わるかも知れない
좋은 경험이 될 거야. ,It would be a good experience.,良い経験になるだろう。 
요즈음 살이 쪄.,I'm gaining weight these days.,近頃太る。
우산 안 가져왔어? ,Didn't you bring your umbrella?,傘持って来なかったの? 
2분 정도 걸릴 겁니다. ,It'll take about two minutes.,2分位かかるでしょう。 
무릎이 너무 아파서 걸을 수가 없어.,My knees are so painful that I can't walk.,膝がとても痛くて歩くことができない。
너 작년에 졸업했지?,"You graduated last year, didn't you?",お前去年卒業しただろ?
다리를 건너자.,Let's cross the bridge.,橋を渡ろう。
박찬호는 내가 제일 좋아하는 야구 선수야.,Chanho Park is my favorite baseball player.,パク・チャンホは私が一番好きな野球選手なの。
이 건물 뒤에 있습니다. ,It is at the back of this building.,この建物の後ろにあります。 
갈비 좋아하세요?,Do you like ribs?,カルビ好きですか?
그 소식에 그녀의 표정이 밝아졌다.,Her face lit up at the news.,その知らせに彼女の表情が明るくなった。
그 여자애는 키가 작아. 그래도 나보다는 커.,"She is short, but still taller than me.",その女の子は背が小さい。 それでも私よりは大きい。
젓가락으로 국수를 집을 수 있어요?,Can you pick up the noodles using your chopsticks?,御箸で麺をつまむことができますか?
안아 줘.,Give me a big hug.,抱いて。
밤새도록 춤을 췄어요. ,I danced the entire night through.,一晩中踊りました。 
괜찮아. 그 사람 멀리 있어서 내 말 못 들을 거야.,No problem. She can't hear me because she's far away.,大丈夫。 その人は遠くにいるから私の声聞こえないよ。
얼른 대답해요.,Answer me right away.,さっさと答えなさい。
보다 현실적인 방법을 찾아야 해.,We should find a more practical way.,より現実的な方法を見つけなければならない。
"화내지 마세요, 그냥 장난이었어요.",Don't be angry. It was just for fun.,"怒らないでください, ふざけただけです。"
그것 참 안됐네요.,I'm so sorry for that.,それ本当に残念ですね。
대통령은 그 문제에 대해 아무 말도 하지 않았다.,The president didn’t say anything about the issue.,大統領はその問題に対して何の言葉も言わなかった。
그 시험을 위해 정말 열심히 공부했어요. ,I studied very hard for the test.,その試験のために本当に熱心に勉強したんです。 
괜찮아요.,I'm OK.,大丈夫です。
옷을 옷걸이에 걸어라.,Hang clothes on a hanger.,服をハンガーにかけなさい。
많은 중학생들이 담배를 피우나요?,Do many junior high school students smoke?,多くの中学生がタバコを吸っていますか?
이 넥타이는 니 양복이랑 잘 어울릴 거야.,I guess this tie will go with your suit.,このネクタイはお前の洋服とよく似合うだろう。
그러면 우리 금요일에 가요. ,"Well then, let's go there on Friday.",それでは私たち金曜日に行きましょう。 
아직도 나한테 화가 나 있니?,Are you still angry with me?,まだ私に怒っているの?
저는 늦게 자고 일찍 일어납니다.,I go to bed late at night and wake up early in the morning.,私は遅く寝て早く起きます。
"그 사람 며칠에 떠났는지 아세요? - 글쎄요, 며칠 전인 것 같은데요.","Do you know when he left here? - Well, I think a few days ago.",その人何日に発ったのか御存知ですか?  - さあね、数日前のようだけど。
나는 수업 태도가 좋지 않았어요.,I had a bad attitude in class.,私は授業態度が良くなかったです。
이 새로 산 치마 어때? ,What do you think of my new skirt?,この新らしく買ったスカートどう? 
나 지금 정말 피곤해.,I'm really tired now.,私今本当に疲れてる。
찌개는 식으면 맛이 없어.,Stew doesn't taste good when it is cold.,チゲは冷えたらまずくなる。
그 선수는 수건으로 얼굴의 땀을 닦았다.,The player wiped the sweat off his face with a towel.,その選手はタオルで顔の汗をぬぐった。
오늘 날짜가 어떻게 되죠?,What's the date today? ,今日何月何日ですが?
저는 오전 9시부터 오후 6시까지 일해요.,I work from 9 a.m. to 6 p.m.,私は午前 9時から午後 6時まで働きます。
그게 바로 아빠가 사랑을 표현하는 방식이에요.,That's the way my dad expresses his love.,それがまさにお父さんが愛を表現する方式ですよ。
같이 합시다.,Let's do it together.,一緒にしましょう。
인터넷에서 영화를 볼 때 어떤 사이트를 이용하세요?,What sites are you using to watch movies on the internet?,インターネットで映画を見る時どんなサイトを利用しますか?
라디오를 켜라.,Turn the radio on.,ラジオをつけなさい。
틀린 번호로 거셨어요.,You dialed the wrong number.,間違った番号にかけました。
비행기는 5분 후에 이륙할 예정입니다.,The plane will take off in 5 minutes.,飛行機は 5分後に離陸する予定です。
자꾸 물어보지 마.,Don't ask me over and over again.,しきりに訊くな。
그만 울어라.,Stop crying.,泣きやみなさい。
저곳은 항상 사람들이 많아.,That place is always crowded with people.,あそこはいつも人が多い。
한강은 한국에서 가장 큰 강이다.,The Han river is the biggest river in Korea.,漢江は韓国で一番大きい川だ。
이 책 니 거야?,Is this book yours?,この本お前のか?
그 사람 아마 늦을 거야. 새벽 네 시까지 깨어있었거든.,He is probably late. He was up until 4 a.m.,その人多分遅れるだろう。朝の４時まで起きてたから。
긴 방학 후에 학교생활에 적응하기 힘들다.,"After a long vacation, I can't get used to school life.",長い休み後に学校生活に適応するのは骨が折れる。
점심은 제가 살게요.,Lunch is on me.,お昼は私が出しますよ。
이번 수학 시험은 지난번보다 더 어려웠어.,This math test was more difficult than the last one.,今回の数学試験はこの前よりもっと難しかったの。
엄마는 그 산을 손가락으로 가리켰다.,My mother pointed out the mountain with her finger.,母はその山を指で示した。
책상 위에 두세요.,Put it on the desk.,机の上に置いてください。
우리 아이들은 목욕하는 걸 좋아해.,My kids like taking a bath.,うちの子供達は風呂に入るのを好む。
그는 맨손으로 사과를 둘로 나누었다.,He split the apple into two with his bare hands.,彼は素手でりんごをふたつに分けた。
어제는 등산하기에 좋은 날씨였다.,Yesterday's weather was good for climbing.,昨日は山登るのに良い天気だった。
팔을 못 움직이겠어요.,I can't move my arm now.,腕を動かす事ができません。
그가 올까?,Will he come?,彼が来るだろうか?
누군가가 내 발을 밟았다.,Somebody stepped on my foot.,誰かが私の足を踏んだ。
나는 고통을 참을 수 없었다.,I couldn’t endure the pain.,私は苦痛に耐えることができなかった。
수업은 오전 8시에 시작한다.,The class begins at 8 a.m.,授業は午前8時に始める。
"한국 사람은 보통 숟가락으로 밥을 먹고, 젓가락으로 반찬을 먹어요.",Usually Koreans use spoons for rice and chopsticks for side dishes.,"韓国人は普通さじでご飯を食べて, 御箸でおかずを食べます。"
한국의 전통적인 놀이에는 뭐가 있나요? ,What traditional Korean games are there?,韓国の伝統的な遊びには何があるんですか? 
더 할 말 있으세요?,Do you have anything more to say?,もっと他に言う事ありますか?
얘가 내 남동생이야.,This is my younger brother.,この子が私の弟だ。
배가 고파서 배에서 소리가 나요.,I am so hungry that my stomach is growling.,お腹がすいてお腹から音がします。
극장 가고 싶어.,I want to go to the movie theater.,映画館行きたい。
내 목소리 잘 들려요?,Can you hear me well?,私の声よく聞こえますか?
정말 맛있네요!,How delicious!,本当においしいですね!
내 인생 최고의 날이었어.,It was the best day of my life.,私の人生で最高の日だったの。
여기 자리 있나요?,Is this seat taken?,ここ席取ってますか?
나는 아침에 늦게 일어난다. 왜냐하면 할 일이 없기 때문이다.,I wake up late in the morning because I have nothing to do.,私は朝に遅く起きる。 何故ならすべきことがないからだ。
북쪽으로 걸어가.,Just walk toward the north. ,北の方に歩いて行け。
당신은 정말 아름다워요.,You are so beautiful. ,あなたは本当に美しいです。
토익 시험에서 900점 이상을 받아야 한다.,I have to score over 900 on the TOEIC exam.,TOEIC試験で900点以上を取らなければならない。
바람이 남쪽에서 북쪽으로 불고 있어요.,The wind is blowing from the south to the north.,風が南側から北に吹いています。
오랜만이네! 그동안 어떻게 지냈어? ,Long time no see! How have you been?,久しぶりだね! その間どうしていたの? 
일반적으로 여성이 남성에 비해 오래 산다.,"Generally speaking, a woman will live longer than a man.",一般的に女性が男性に比べて長生きする。
나는 동생과 사이가 안 좋아요.,I am not on good terms with my younger brother(sister).,私は弟(妹)と仲が良くありません。
이전 여자친구가 어젯밤 꿈에 나타났다.,My ex-girlfriend appeared in my dream last night.,昔のガールフレンドが昨晩夢に現われた。
오늘은 쉬는 날이야.,Today is my day off.,今日は休日だ。
우리 형은 아버지처럼 행동해.,My older brother acts as if he were my father.,うちの兄さんはお父さんのように行動する。
올해 추석에는 휴일이 며칠이에요?,How many holidays do you have on Chusok?,今年秋夕には何日休みですか?
많이 변했네.,You've changed a lot.,だいぶ変わったな。
언제 시간 되세요?,When are you free?,いつ時間ありますか?
이따 오후에 오세요.,Come by this afternoon.,後程午後に来てください。
이 방에서 회의를 하고 싶어.,I want to have a meeting in this room.,この部屋で会議をしたい。
청바지와 운동화는 안 됩니다.,Jeans and sneakers are not allowed.,ジーパンと運動靴はだめです。
프랑스로 완전히 돌아가는 건가요? ,Are you going back to France for good?,フランスに完全に帰るんですか? 
산책하기에 좋다. 밖으로 나가자.,The weather is good for a walk. Let's go out.,散歩するのにもってこいだ。 外に出よう。
이 근처에 사니?,Do you live in this neighborhood?,この近くに住んでるの?
그 빨간색 드레스 너랑 잘 어울려.,The red dress looks good on you.,その赤いドレスお前によく似合う。
몇 층이나 올라가야 해요?,How many flights of stairs should I go up?,何階程上がらなければならないですか?
이 차 주인이세요?,Are you the owner of this car?,この車の持ち主ですか?
그녀의 말은 사실과 전혀 달라.,Her remarks are completely different from the truth.,彼女の言葉は事実と全然違う。
이제 그만 가볼게요.,I have to leave now.,そろそろ帰ります。
물과 공기가 맑은 곳이 살기 좋다.,It is good to live where the water and air are clear.,水と空気の清い所が住みよい。
컴퓨터 게임 좋아하세요? ,Do you like computer games?,コンピューターゲーム好きですか? 
나는 베토벤을 제일 좋아해. ,I like Beethoven the best.,私はベートーベンが一番好きなの。 
오늘 날씨 따뜻하네요.,It is warm today.,今日の天気暖かいですね。
어느 커플이 서로를 사랑스럽게 바라보고 있었다.,A couple was looking at each other lovingly.,あるカップルがお互いを愛しく見詰め合っていた。
차가 지나가면서 물을 튀겼다.,A car drove by and splashed water on me.,車が通り過ぎる時、水が跳ねた。
방문 목적이 무엇입니까?,What is the purpose of your visit?,訪問目的は何ですか?
세상이 지난 10년 동안 아주 많이 달라졌다.,The world has changed a lot during the last ten years.,世の中が去る十年の間非常に変わった。
메시지 남겨 주세요.,Leave a message.,メッセージ残してください。
수영장 주위를 그렇게 뛰어다니면 안 된다.,You shouldn't run around the pool like that.,プールの周りをそんな風に走り回ってはいけない。
동대문 시장에 가 보고 싶어요.,I want to go to Dongdaemun Market.,東大門市場に行って見たいです。
여기서 신용카드를 사용할 수 있나요?,Can I use this credit card here?,ここでクレジットカードを使うことができるんですか?
호주의 계절은 한국하고 정반대야.,The seasons in Australia are opposite to those in Korea.,オーストラリアの季節は韓国と正反対だ。
형과 나는 서로를 잘 모른다.,My brother and I don't know each other well.,兄さんと私はお互いの事をよく理解していない。
너는 웃을 때가 귀여워.,You're cute when you smile.,お前は笑う時が可愛い。
내 생각에는 고양이인 것 같아.,I think it is the cat.,私が思うに、猫だ。
"봐, 저 남자는 키가 2미터는 넘을 거 같아.","Look, I think that guy is over two meters tall.","見て, あの男は背が2メートルは超えそう。"
"점점 더, 젊은 사람들이 공부하려고 해외에 간다.","More and more, young people nowadays go abroad to study.",ますます多くの若い人々が勉強勉強するために海外へ行く。
점심 먹으러 나가자.,Let's go out for lunch.,お昼食べに出よう。
매운 음식도 괜찮아?,You don't mind spicy food?,辛い食べ物も大丈夫なの?
나는 가끔 맥주를 마신다.,I sometimes drink beer.,私はたまにビールを飲む。
매주 일요일 아침에 교회에 갑니다.,I go to church every Sunday morning.,毎週日曜の朝に教会へ行きます。
몇 학년이야? - 1학년이에요.,What year are you in? - I'm a freshman.,何年生なの? - 1年生です。
여기에 처음 왔을 때 나는 이곳 문화에 익숙하지 않았다.,I was not familiar with the culture here in the first time I came here.,ここに初めて来た時私はこちらの文化に慣れていなかった。
아마 이를 빼야 할 거야.,Maybe you have to have a tooth pulled out.,多分歯を抜かなければならないだろう。
방에서 나오지 마.,Don't come out of your room.,部屋から出るな。
한국에는 군인이 몇 명이나 있습니까?,How many soldiers are there in Korea?,韓国には軍人が何人いますか?
잘 찾아봐라.,Search thoroughly.,よく探してごらん。
"오늘 약간 춥다, 그지?","It's a little chilly today, isn't it? ",今日少し寒いね?
벽에 그림이 걸려 있다.,A picture is hanging on the wall.,壁に絵がかかっている。
조심해서 계단을 내려가라.,Go down the stairs carefully.,気を付けて階段をおりなさい。
여기 메뉴가 있습니다.,Here's the menu.,ここにメニューがあります。
나 지금 가봐야 해. 내 아들이 집에 혼자 있어.,I have to go now. My son is home alone.,私今行かなきゃ。 私の息子が家に一人でいるの。
휴지로 코를 풀어라.,Blow your nose with a piece of tissue.,ティッシュで鼻をかみなさい。
제가 개인적으로 책임을 지겠습니다. ,I'll take personal responsibility for it.,私が個人的に責任を負います。 
"그는 읽고 쓰지 못하지만, 큰 회사의 사장이다.","Although he can't read or write, he is the president of a big company.","彼は読み書きできないが, 大きい会社の社長だ。"
축하합니다!,Congratulations!,おめでとうございます!
그 사람 전혀 다른 사람 같더라고.,He seemed to be a completely different person.,その人全く違う人みたいだった。
해는 동쪽에서 떠서 서쪽으로 진다.,The sun rises in the east and sets in the west.,太陽は東から上がって西に沈む。
한 시간 후에 수업이 있어요.,I have class in an hour.,一時間後に授業があります。
걸어갈래요? 아니면 차로 갈래요? ,Would you like to go on foot or by car?,"歩いて行きますか,それとも車で行きますか? "
남녀관계는 아무도 모른다.,No one can know the relationship between a man and a woman.,男女関係は誰も分からない。
어디로 소풍 가고 싶어?,Where would you like to go for a picnic?,遠足どこに行きたい?
그 옷 너랑 잘 어울리네.,The dress suits you well.,その服お前とよく似合うね。
날씨 어때?,How is the weather? ,天気どう?
내일은 월요일이야.,Tomorrow is Monday. ,明日は月曜日だ。
우리는 그냥 친구일까? 아니면 연인일까?,Are we just friends? Or lovers?,私たちは只の友達だろうか? それとも恋人だろうか?
내가 본 것 중 최고였어. ,It was the best I've ever seen.,私が見たのの中で最高だったの。 
이 신발은 손님을 5센티미터 커 보이게 만들 겁니다.,"Those shoes make you look 5 centimeters taller, sir.",この靴はお客さんの背を5センチメートル高く見せます。
미국 사람들은 젓가락 대신 포크를 사용한다.,Americans use forks instead of chopsticks.,アメリカ人々は御箸代わりにフォークを使う。
그 가게는 여러 가지 물건을 팔아.,They sell various kinds of things at the shop.,その店はさまざまな品物を売っている。
당신이 돈 벌면 내가 아이 볼게. ,I'll take care of the children if you make money.,あなたがお金を稼ぐなら私が子供を見るわ。 
수건 가져왔니?,Did you bring towels?,タオル持って来たの?
나는 신문에서 스포츠 부분만 읽는다.,I only read the sports section in the newspaper.,私は新聞でスポーツ部分だけ読む。
그녀는 선생님이 되기 위해 일을 그만두었다.,She quit the job to become a teacher.,彼女は先生になるために仕事をやめた。
"저 부부는 취미가 비슷해요, 자는 거요.","The married couple has a similar hobby, sleeping.","あの夫婦は趣味が似ています, 寝る事です。"
사장님은 휴일에도 일을 시킨다.,The CEO makes me work on holidays.,社長は休日にも仕事をさせる。
거기 가운데 앉아라.,"Sit there, in the middle.",その真ん中に座りなさい。
사전은 대출이 안 됩니다.,You can't check out the dictionary.,辞書は貸し出し出来ません。
꼭 갈게.,I'll be there for sure.,必ず行く。
답안지를 내세요.,Hand in your answer sheet.,答案紙を出してください。
이 방이 깨끗하다고 생각해?,Do you think this room is clean?,この部屋がきれいだと思うの?
일 년 동안 영국에서 살 거예요.,I'll be living in England for a year.,一年の間イギリスで住むつもりです。
들어가지 마시오!,Do not enter!,入らないでください!
저 식당은 냉면으로 유명해.,That restaurant is famous for naengmyeon.,あの食堂は冷麺で有名なの。
학생 할인이 됩니까?,Do you have discounts for students?,学生割引になりますか?
나 그런 질문 싫어하는 거 알잖아. ,You know I hate that question.,私そういう質問嫌いなの分かってるでしょ。 
내 친구 녀석이 화가 나 내 얼굴을 쳤다.,My friend was so angry that he hit me in the face.,僕の友達のやつがカッとなって僕の顔を叩いた。
내 스웨터랑 어울리는 바지를 찾았다.,I found a nice pair of pants to match my sweater.,私のセーターに似合うズボンを探した。
저는 양의 해에 태어났어요.,I was born in the year of the sheep.,私は羊年に生まれたんです。
나는 밸런타인데이 선물을 직접 만들려고 생각 중이야.,I am thinking about making a Valentine's day present myself.,私はバレンタインデーのプレゼントを直接作ろうと思っているところ。
한국의 약국에서는 약만 팔아요.,Korean drugstores only sell medicine.,韓国の薬局では薬しか売ってません。
몹시 잠이 와.,I feel so sleepy.,無性に眠たい。
남편은 점심을 먹고 이웃에 놀러갔어요.,My husband went over to our neighbor's house after lunch.,夫はお昼を食べた後隣りの家に遊びに行ったんです。
그녀는 못생겼지만 정말 친절하다.,She is ugly but very friendly.,彼女はブスだが本当に親切だ。
"그 차가 나를 쳤을 때, 나는 심한 충격을 받았다.","When the car hit me, I went into severe shock.","その車が私を跳ねた時, 私はひどい衝撃を受けた。"
"너무 배불러, 더는 못 먹겠어.","I'm so full, I can't eat any more.",お腹がいっぱいでもう食べれない。
올해 채소 값이 올랐다.,The price of vegetables rose this year.,今年野菜の値段が上がった。
저희 아들 학교생활 잘 하고 있나요? ,How is our son doing in school?,うちの息子学校生活大丈夫でしょうか? 
와인 좀 가져오세요. ,"Bring some wine, please.",ワインちょっと持って来てください。 
아직 괜찮은 것 같은데. ,These still seem to be okay.,まだいいと思うが。 
그 사람 나무 아래에 앉아 있어.,He is sitting under the tree.,その人木の下に座っている。
6명씩 그룹으로 하세요.,Work in groups of six.,6人ずつグループとして下さい。
우리 집 근처에 작은 강이 흘러요.,A small river flows near my house.,我家の近くに小さな川が流れてます。
그렇게 말하지 마.,Don't say that.,そんな風に言わないで。
어젯밤에 이상한 꿈을 꿨어.,I had a strange dream last night.,昨晩変な夢を見たの。
작별 인사를 해야 할 시간이야.,It's time for us to say goodbye.,お別れのあいさつをする時間だ。
어디 살아?,Where do you live? ,どこに住んでぃるの?
영화는 형편없었지만 경치는 멋있었어!,"The movie was stupid, but the scenery was nice!",映画は不出来だったが景色は素晴しかった!
내가 40점을 넣어서 우리 팀이 이겼어.,I scored 40 points and our team won the game.,私が40点を入れてうちのチームが勝ったの。
이 수박 자르게 칼 좀 가져와라.,Get me a knife to slice this watermelon.,このすいか切るから包丁ちょっと持って来なさい。
한국 사람들은 돼지꿈이 행운이 있다고 믿어요.,Koreans believe that dreams about pigs are the luckiest.,韓国の人々は豚の夢に幸運があると信じています。
중국에서는 물건 값이 굉장히 싸요. ,Things in China are so cheap.,中国では品物の値打ちがとても安いです。 
머리를 파란색으로 염색했더니 엄마가 나를 내쫓았다.,I dyed my hair blue and my mom kicked me out.,頭を青に染めたら母が私を追い出した。
가게들은 지하에 있습니다.,Shops are in the basement.,店街は地下にあります。
그는 치즈 김밥을 주문했다.,He ordered cheese gimbap.,彼はチーズのり巻きを注文した。
내가 샌드위치 가져갈게.,I'll bring some sandwiches.,私がサンドイッチ持って行くよ。
옆집 사는 부부 결국 이혼했어요.,The married couple next door finally got divorced.,隣に住んでる夫婦結局離婚したんです。
누구세요? - 나예요.,Who's there? - It's me.,どなたですか? - 私です。
그렇지만 당신한테 잘 어울려요. ,"It looks really good on you, though.",でもあなたによく似合います。 
정말 피곤해 보이네요. 무슨 일 있어요?,You look really tired. What's up?,本当に疲れて見えますね。 どうかされました?
전화번호 좀 알려줄래?,Can I have your phone number?,電話番号ちょっと教えてくれる?
나 이 스웨터 다시는 안 입을 거야. 늘어났어.,I won't wear this sweater again. It has stretched.,私このセーター二度と着ない。 伸びた。
저 조금 취한 것 같아요.,I think I'm a little bit drunk.,私少し酔ったようです。
바로 갈게.,I'm coming right away.,すぐに行く。
저게 뭐지?,What is that?,あれ何だろう?
"아니요, 그 애는 내 아들이 아니에요.","No, the kid is not my son.","いいえ, その子は私の息子ではありません。"
일본에 가려면 관광 비자가 필요해요.,You need a tourist visa to go to Japan.,日本へ行くには観光ビザが必要です。
오래 기다리시게 해서 죄송합니다.,I'm sorry to have kept you waiting for so long.,長くお待たせいたして申し訳ありません。
이 세탁기 고장 났어. 그거 켰어?,This washing machine doesn't work. Did you turn it on?,この洗濯機故障した。 それつけたの?
그 축구 경기는 무승부로 끝났어.,The soccer game ended in a tie.,そのサッカー競技は引き分けで終わったの。
나 지금 우체국 가는 길이야. ,I'm on the way to the post office.,私今郵便局行くところだ。 
돈 주세요.,Give me the money.,お金を払って下さい。
공책 좀 빌려줄래?,Can I borrow your notebook?,ノートちょっと貸してくれるか?
그녀는 그를 처음 만났을 때부터 그를 좋아했다고 말했다.,She said she liked him the first time she met him.,彼女は彼に初めて会った時から彼が好きだったと言った。
나는 지갑에서 돈을 꺼내는 척했어.,I pretended to take out some money from my purse.,私は財布からお金を取り出すふりをしたの。
내 여자 친구는 나보다 네 살 어린 대학생이야.,My girlfriend is an undergraduate who is four years younger than me.,僕の彼女は僕より四歳年下の大学生だ。
나는 한복이 불편해서 한복 입는 것을 별로 좋아하지 않는다.,I don't like to wear hanbok very much because it's uncomfortable.,私は韓服が不便で韓服着るのがあまり好きではない。
나는 두 문제 맞혔어.,I guessed two questions correctly.,私は二問当てた。
그들은 5학년 때 같은 반이었다.,They were in the same class in fifth grade.,彼らは5年生の時同じクラスだった。
"혜안은 요즘 밥도 못 먹고, 잠도 못 자.",Hyean can not eat or sleep these days.,"ヘアンはこのごろご飯も食べる事ができず, 寝る事もできない。"
건강한 생활의 기본은 무엇인가요?,What is the basics of a healthy life?,健康な生活の基本は何でしょうか?
앞에 사고가 난 것 같아요.,I guess an accident has happened up ahead.,前で事故が起こったようです。
내일도 날씨가 좋았으면 좋겠는데.,"I hope the weather is nice tomorrow, too. ",明日もいい天気だったら良いのに。
나는 보통 일요일 아침에는 아침도 안 먹고 늦게까지 잔다.,I usually sleep in without having breakfast on Sunday mornings.,私は普通日曜日の朝には朝ご飯も食べずに遅くまで寝る。
낚시는 제 유일한 취미예요.,Fishing is my only hobby.,釣りは私の唯一の趣味です。
시간은 당신이 정해요.,You set the time for us.,時間はあなたが決めて下さい。
이 상자 어디에 놓을까요?,Where do I put this box?,この箱どこにおきましょうか?
주머니에 손을 넣지 마라.,Don’t  put  your hand in your pocket.,ポケットに手を入れないでね。
샤워 했어?,Did you take a shower?,シャワーあびたの?
예약 확인해야 해.,You should confirm the reservation.,予約確認しなければ。
무대 옆에 서 있는 사람이 그 여자야.,That's her standing over there by the stage.,舞台の横に立っている人がその女よ。
나는 그녀에게 운전을 가르쳤다.,I taught her how to drive.,私は彼女に運転を教えた。
