RTH #,RSH #,RTK #,TH,SH,K,H POS,RTH Keyword,RSH Keyword,RTK Keyword,RTH Read,TH Read,RTH Lesson,RSH Lesson,RTK Lesson,K and H check,SH and TH check,K and TH keywords,SH and TH keywords,K and H Visual Check
2186,2201,1149,浸,浸,浸,,immerse,immerse,immersed,jìn,jìn,RTH2-L31,RSH2-L30,RTK1v5-L31,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2187,1788,,贓,赃,贓,,stolen goods,stolen goods,,zāng,zāng,RTH2-L31,RSH2-L21,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2188,1981,0850,藏,藏,蔵,v.,hide,hide,storehouse,cáng,cáng|Zàng|zàng,RTH2-L31,RSH2-L24,RTK1v5-L25,K <> H,SH = TH,K key <> TH key,SH key = TH key,Japanese variant
2189,1787,0851,臟,脏,臓,,guts,dirty,entrails,zàng,zàng,RTH2-L31,RSH2-L21,RTK1v5-L25,K <> H,SH <> TH,K key <> TH key,SH key <> TH key,Japanese variant
2190,2466,0732,獎,奖,奨,n.,award,award,exhort,jiǎng,jiǎng,RTH2-L31,RSH2-L37,RTK1v5-L23,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
2191,2467,,漿,浆,漿,,thick liquid,thick liquid,,jiāng,jiàng|jiāng,RTH2-L31,RSH2-L37,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2192,2468,,槳,桨,槳,,oar,oar,,jiǎng,jiǎng,RTH2-L31,RSH2-L37,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2193,2469,,蔣,蒋,蔣,,Jiang,Jiang,,jiǎng,Jiǎng,RTH2-L31,RSH2-L37,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2194,2035,2966,淵,渊,淵,,abyss,abyss,abyss [old],yuān,yuān,RTH2-L31,RSH2-L25,RTK3v2-CH06,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2195,2212,1733,肅,肃,粛,,solemn,solemn,solemn,sù,sù,RTH2-L31,RSH2-L30,RTK1v5-L45,K <> H,SH <> TH,K key = TH key,SH key = TH key,Japanese variant
2196,2213,,嘯,啸,嘯,v.,howl,howl,,xiào,xiào,RTH2-L31,RSH2-L30,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2197,2214,,蕭,萧,蕭,,desolate,desolate,,xiāo,xiāo,RTH2-L31,RSH2-L30,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2198,2027,,鏽,锈,鏽,n./v.,rust,rust,,xiù,xiù,RTH2-L31,RSH2-L25,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2199,2252,1216,芝,芝,芝,,sesame,sesame,turf,zhī,zhī,RTH2-L31,RSH2-L31,RTK1v5-L32,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2200,2253,,貶,贬,貶,,devalue,devalue,,biǎn,biǎn,RTH2-L31,RSH2-L31,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2201,2254,,泛,泛,泛,,nonspecific,nonspecific,,fàn,fàn,RTH2-L31,RSH2-L31,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2202,2255,2862,歪,歪,歪,,askew,askew,warped,wāi,wāi,RTH2-L31,RSH2-L31,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2203,2256,1221,矯,矫,矯,,rectify,rectify,rectify,jiǎo,jiǎo|jiáo,RTH2-L32,RSH2-L32,RTK1v5-L33,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2204,2257,,矮,矮,矮,,short of stature,short of stature,,ǎi,ǎi,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2205,2258,,唉,唉,唉,,sigh--ay-ay,sigh--ay-ay,,āi,āi|ài,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2206,2259,,埃,埃,埃,,fine dust,fine dust,,āi,āi,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2207,2260,2248,挨,挨,挨,,suffer,suffer,shove,ái,āi|ái,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2208,2261,,簇,簇,簇,n.,cluster,cluster,,cù,cù,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2209,2262,2385,茅,茅,茅,n.,thatch,thatch,grassy reed,máo,máo,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2210,2263,2494,橘,橘,橘,,tangerine,tangerine,mandarin orange,jú,jú,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2211,2264,,舒,舒,舒,,relax,relax,,shū,shū,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2212,2269,1234,弘,弘,弘,,noble,noble,vast,hóng,hóng,RTH2-L32,RSH2-L32,RTK1v5-L33,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2213,2270,2881,夷,夷,夷,,barbarian,barbarian,ebisu,yí,yí,RTH2-L32,RSH2-L32,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2214,2271,,姨,姨,姨,,maternal aunt,maternal aunt,,yí,yí,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2215,2272,,疆,疆,疆,,dividing line,dividing line,,jiāng,jiāng,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2216,2273,,僵,僵,僵,adj.,stiff,stiff,,jiāng,jiāng,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2217,1758,,薑,姜,薑,,ginger,ginger,,jiāng,jiāng,RTH2-L32,RSH2-L20,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2218,2274,2243,粥,粥,粥,,porridge,porridge,rice gruel,zhōu,zhōu,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2219,2277,1237,沸,沸,沸,,bring to a boil,bring to a boil,seethe,fèi,fèi,RTH2-L32,RSH2-L32,RTK1v5-L33,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2220,2278,0738,拂,拂,払,v.,caress,caress,pay,fú,fú|bì,RTH2-L32,RSH2-L32,RTK1v5-L23,K <> H,SH = TH,K key <> TH key,SH key = TH key,Japanese variant
2221,2279,2146,剃,剃,剃,v.,shave,shave,shave,tì,tì,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2222,2282,,涕,涕,涕,,snot,snot,,tì,tì,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2223,2281,2479,梯,梯,梯,,ladder,ladder,ladder,tī,tī,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2224,2283,1243,朽,朽,朽,,decayed,decayed,decay,xiǔ,xiǔ,RTH2-L32,RSH2-L32,RTK1v5-L33,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2225,2284,2678,聘,聘,聘,v.,employ,employ,summons,pìn,pìn,RTH2-L32,RSH2-L32,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2226,2614,0643,犧,牺,犠,v.,sacrifice,sacrifice,sacrifice,xī,xī,RTH2-L32,RSH2-L40,RTK1v5-L23,K <> H,SH <> TH,K key = TH key,SH key = TH key,Japanese variant
2227,2285,,姊,姊,姊,,elder sister,elder sister,,zǐ,zǐ,RTH2-L32,RSH2-L32,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2228,2293,,躺,躺,躺,,lie down,lie down,,tǎng,tǎng,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2229,2294,,躲,躲,,v.,dodge,dodge,,duǒ,duǒ,RTH2-L33,RSH2-L33,,K missing,SH = TH,RTK key missing,SH key = TH key,
2230,2295,,躬,躬,躬,v.,stoop,stoop,,gōng,gōng,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2231,2296,,嗜,嗜,嗜,,hanker,hanker,,shì,shì,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2232,2298,1255,拷,拷,拷,,flog,flog,torture,kǎo,kǎo,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2233,2300,1260,暑,暑,暑,,summer heat,summer heat,sultry,shǔ,shǔ,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2234,2301,,睹,睹,睹,,behold,behold,,dǔ,dǔ,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2235,2304,1264,賭,赌,賭,v.,gamble,gamble,gamble,dǔ,dǔ,RTH2-L33,RSH2-L33,RTK1v5-L34,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2236,2305,,奢,奢,奢,,extravagant,extravagant,,shē,shē,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2237,2306,2192,堵,堵,堵,,stop up,stop up,railing,dǔ,dǔ,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2238,2307,1257,煮,煮,煮,v.,boil,boil,boil,zhǔ,zhǔ,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2239,2308,1261,諸,诸,諸,,various,various,various,zhū,zhū,RTH2-L33,RSH2-L33,RTK1v5-L34,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2240,2309,2118,儲,储,儲,,put in storage,put in storage,make a profit,chǔ,chǔ,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2241,2310,2217,屠,屠,屠,,slaughter,slaughter,butchering,tú,tú,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2242,2302,1259,署,署,署,,add your John Hancock,add your John Hancock,signature,shǔ,shǔ,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2243,2303,2365,薯,薯,薯,,yam,yam,yam,shǔ,shǔ,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2244,2196,1230,歸,归,帰,,come back,come back,homecoming,guī,guī,RTH2-L33,RSH2-L30,RTK1v5-L33,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
2245,2052,,篩,筛,篩,,sift,sift,,shāi,shāi,RTH2-L33,RSH2-L25,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2246,2311,1272,棺,棺,棺,,coffin,coffin,coffin,guān,guān,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2247,2312,,爹,爹,爹,,dad,dad,,diē,diē,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2248,2313,2333,斧,斧,斧,,axe,axe,hatchet,fǔ,fǔ,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2249,2314,,咬,咬,咬,v.,bite,bite,,yǎo,yǎo,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2250,2316,2337,狡,狡,狡,,sly,sly,cunning,jiǎo,jiǎo,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2251,2319,,趴,趴,,,prostrate oneself,prostrate oneself,,pā,pā,RTH2-L33,RSH2-L33,,K missing,SH = TH,RTK key missing,SH key = TH key,
2252,2320,1287,踏,踏,踏,,trample,trample,step,tà,tà|tā,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2253,2321,1286,踐,践,践,,tread on,tread on,tread,jiàn,jiàn,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH,SH <> TH,K key <> TH key,SH key = TH key,
2254,2323,2741,蹄,蹄,蹄,,hoof,hoof,hoof,tí,tí,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2255,2317,2260,捉,捉,捉,v.,catch,catch,nab,zhuō,zhuō,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2256,2324,,踩,踩,,,step on,step on,,cǎi,cǎi,RTH2-L33,RSH2-L33,,K missing,SH = TH,RTK key missing,SH key = TH key,
2257,2325,,蹦,蹦,,v.,hop,hop,,bèng,bèng,RTH2-L33,RSH2-L33,,K missing,SH = TH,RTK key missing,SH key = TH key,
2258,2326,,跌,跌,跌,v.,slump,slump,,diē,diē,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2259,2318,1280,促,促,促,v.,urge,urge,stimulate,cù,cù,RTH2-L33,RSH2-L33,RTK1v5-L34,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2260,2327,,踢,踢,踢,v.,kick,kick,,tī,tī,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2261,2330,,躁,躁,躁,,impetuous,impetuous,,zào,zào,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2262,2331,,噪,噪,噪,n.,chirping,chirping,,zào,zào,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2263,2332,,澡,澡,澡,,bath,bath,,zǎo,zǎo,RTH2-L33,RSH2-L33,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2264,2333,2035,藻,藻,藻,,algae,algae,seaweed,zǎo,zǎo,RTH2-L33,RSH2-L33,RTK1v5-L56,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2265,2335,0671,操,操,操,n.,exercise,exercise,maneuver,cāo,cāo|cào,RTH2-L33,RSH2-L33,RTK1v5-L23,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2266,2334,0215,燥,燥,燥,,parched,parched,parch,zào,zào,RTH2-L33,RSH2-L33,RTK1v5-L10,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2267,2322,1285,躍,跃,躍,v.,leap,leap,leap,yuè,yuè,RTH2-L33,RSH2-L33,RTK1v5-L34,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2268,1778,,戳,戳,戳,v.,jab,jab,,chuō,chuō,RTH2-L33,RSH2-L20,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2269,1777,2880,耀,耀,耀,v.,show off,show off,shimmering,yào,yào,RTH2-L33,RSH2-L20,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2270,2336,2335,猾,猾,猾,,cunning,cunning,sly,huá,huá,RTH2-L33,RSH2-L33,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2271,2337,1290,髓,髓,髄,,marrow,marrow,marrow,suǐ,suǐ,RTH2-L33,RSH2-L33,RTK1v5-L34,K <> H,SH = TH,K key = TH key,SH key = TH key,Japanese variant
2272,ch # 1787,,髒,脏,髒,,dirty,,,zāng,zāng,RTH2-L33,,,K = TH,SH <> TH,RTK key missing,RSH key missing,
2273,2365,1292,渦,涡,渦,,whirlpool,whirlpool,whirlpool,wō,wō,RTH2-L33,RSH2-L34,RTK1v5-L34,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2274,2366,2757,鍋,锅,鍋,,pot,pot,pot,guō,guō,RTH2-L33,RSH2-L34,RTK3v2-CH02,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2275,2368,,蝸,蜗,蝸,,snail,snail,,wō,wō,RTH2-L33,RSH2-L34,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2276,2367,1291,禍,祸,禍,,misfortune,misfortune,calamity,huò,huò,RTH2-L33,RSH2-L34,RTK1v5-L34,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2277,2338,,陌,陌,陌,,footpath,footpath,,mò,mò,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2278,2339,2426,隙,隙,隙,n.,rift,rift,chink,xì,xì,RTH2-L34,RSH2-L34,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2279,2340,,陡,陡,陡,,steep,steep,,dǒu,dǒu,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2280,2342,1297,障,障,障,,barrier,barrier,hinder,zhàng,zhàng,RTH2-L34,RSH2-L34,RTK1v5-L35,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2281,2341,1299,陪,陪,陪,,accompany,accompany,auxiliary,péi,péi,RTH2-L34,RSH2-L34,RTK1v5-L35,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2282,2343,,隧,隧,隧,n.,tunnel,tunnel,,suì,suì,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2283,1070,1307,墜,坠,墜,v.,plunge,plunge,crash,zhuì,zhuì,RTH2-L34,RSH1-L34,RTK1v5-L35,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2284,2344,,陋,陋,陋,,undesirable,undesirable,,lòu,lòu,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2285,2354,,挖,挖,挖,v.,dig,dig,,wā,wā,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2286,2880,1325,窯,窑,窯,,kiln,kiln,kiln,yáo,yáo,RTH2-L34,RSH2-L52,RTK1v5-L35,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2287,2356,2613,窺,窥,窺,v.,peep,peep,peep,kuī,kuī,RTH2-L34,RSH2-L34,RTK3v2-CH02,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2288,2360,2615,窟,窟,窟,,den,den,cavern,kū,kū,RTH2-L34,RSH2-L34,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2289,2358,2614,窄,窄,窄,adj.,strait,strait,tight,zhǎi,zhǎi,RTH2-L34,RSH2-L34,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2290,2359,,榨,榨,榨,v.,extract,extract,,zhà,zhà,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2291,2361,,窘,窘,窘,,poverty-stricken,poverty-stricken,,jiǒng,jiǒng,RTH2-L34,RSH2-L34,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2292,2357,1326,窮,穷,窮,,poor,poor,hard up,qióng,qióng,RTH2-L34,RSH2-L34,RTK1v5-L35,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2293,2364,,窩,窝,窩,n.,hollow,hollow,,wō,wō,RTH2-L34,RSH2-L34,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2294,2363,2465,腔,腔,腔,,body cavity,body cavity,body cavity,qiāng,qiāng,RTH2-L34,RSH2-L34,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2295,2418,1364,累,累,累,,tired,tired,accumulate,lèi,lèi|lěi|léi,RTH2-L35,RSH2-L35,RTK1v5-L36,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2296,2419,2691,螺,螺,螺,,spiral shell,spiral shell,screw,luó,luó,RTH2-L35,RSH2-L35,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2297,2375,2673,紗,纱,紗,,yarn,yarn,gossamer,shā,shā,RTH2-L35,RSH2-L35,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2298,2373,,綽,绰,綽,,ample,ample,,chuò,chuò,RTH2-L35,RSH2-L35,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2299,2374,1359,紹,绍,紹,,acquaint,acquaint,introduce,shào,shào,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2300,2422,,絮,絮,絮,,long-winded,long-winded,,xù,xù,RTH2-L35,RSH2-L35,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2301,2379,,繞,绕,繞,,go around,go around,,rào,rào,RTH2-L35,RSH2-L35,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2302,ch # 1836,,紮,扎,紮,v.,bind,,,zā,zā|zhā|zhá,RTH2-L35,,,K = TH,SH <> TH,RTK key missing,RSH key missing,
2303,2381,1367,綿,绵,綿,,continuous,continuous,cotton,mián,mián,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2304,2385,1346,繪,绘,絵,v.,paint,paint,picture,huì,huì,RTH2-L35,RSH2-L35,RTK1v5-L36,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
2305,2376,1350,絡,络,絡,,web,web,entwine,luò,luò|lào,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2306,2377,,綢,绸,綢,,silk fabric,silk fabric,,chóu,chóu,RTH2-L35,RSH2-L35,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2307,2378,2657,絨,绒,絨,n.,down,down,carpet yarn,róng,róng,RTH2-L35,RSH2-L35,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2308,2382,1340,締,缔,締,,conclude,conclude,tighten,dì,dì,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2309,2420,1375,紫,紫,紫,,purple,purple,purple,zǐ,zǐ,RTH2-L35,RSH2-L35,RTK1v5-L36,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
2310,2421,1337,繁,繁,繁,,numerous,numerous,luxuriant,fán,fán,RTH2-L35,RSH2-L35,RTK1v5-L36,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2311,2383,1357,紡,纺,紡,v.,spin,spin,spinning,fǎng,fǎng,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2312,1743,1880,繭,茧,繭,,cocoon,cocoon,cocoon,jiǎn,jiǎn,RTH2-L35,RSH2-L20,RTK1v5-L51,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2313,2384,2663,纏,缠,纏,,wind around,wind around,summarize,chán,chán,RTH2-L35,RSH2-L35,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2314,ch # 1916,3020,緻,致,緻,,delicate,,fine,zhì,zhì,RTH2-L35,,RTK1v5-Sup.,K = TH,SH <> TH,K key <> TH key,RSH key missing,
2315,ch # 1101,2655,繫,系,繋,,fasten,,link up,jì,jì|xì,RTH2-L35,,RTK3v2-CH02,K <> H,SH <> TH,K key <> TH key,RSH key missing,Variant
2316,2390,1356,納,纳,納,,let in,let in,settlement,nà,nà,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2317,2386,1358,紛,纷,紛,,disorderly,disorderly,distract,fēn,fēn,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2318,2389,1336,縮,缩,縮,v.,shrink,shrink,shrink,suō,suō,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key = TH key,SH key = TH key,
2319,2391,2660,綜,综,綜,,sum up,sum up,synthesis,zōng,zōng,RTH2-L35,RSH2-L35,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2320,2392,1361,紳,绅,紳,,gentry,gentry,sire,shēn,shēn,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2321,2204,1372,緣,缘,縁,n.,reason,reason,affinity,yuán,yuán,RTH2-L35,RSH2-L30,RTK1v5-L36,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
2322,2393,1344,緒,绪,緒,,inception,inception,thong,xù,xù,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2323,2394,1348,絞,绞,絞,,wring,wring,strangle,jiǎo,jiǎo,RTH2-L35,RSH2-L35,RTK1v5-L36,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2324,2395,1952,緩,缓,緩,,unhurried,unhurried,slacken,huǎn,huǎn,RTH2-L35,RSH2-L35,RTK1v5-L53,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
2325,2396,1949,暖,暖,暖,adj.,warm,warm,warmth,nuǎn,nuǎn,RTH2-L35,RSH2-L35,RTK1v5-L53,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2326,2397,1951,援,援,援,,provide assistance,provide assistance,abet,yuán,yuán,RTH2-L35,RSH2-L35,RTK1v5-L53,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2327,2423,1365,索,索,索,,large rope,large rope,cord,suǒ,suǒ|suō,RTH2-L35,RSH2-L35,RTK1v5-L36,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2328,2425,2858,勃,勃,勃,,vibrant,vibrant,erection,bó,bó,RTH2-L35,RSH2-L35,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
2329,2424,,脖,脖,脖,,head-hinge,head-hinge,,bó,bó,RTH2-L35,RSH2-L35,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2330,2400,,繳,缴,繳,,shell out,shell out,,jiǎo,jiǎo|zhuó,RTH2-L35,RSH2-L35,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2331,2401,,邀,邀,邀,,request the presence of,request the presence of,,yāo,yāo,RTH2-L35,RSH2-L35,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
2332,2387,2665,繡,绣,繍,,embroidery,embroidery,embroidery,xiù,xiù,RTH2-L35,RSH2-L35,RTK3v2-CH02,K <> H,SH <> TH,K key = TH key,SH key = TH key,Variant
2333,1583,,蘿,萝,蘿,,edible root,edible root,,luó,luó,RTH2-L35,RSH2-L10,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2334,1616,,鑼,锣,鑼,,gong,gong,,luó,luó,RTH2-L35,RSH2-L12,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2335,1621,,邏,逻,邏,,make the rounds,make the rounds,,luó,luó,RTH2-L35,RSH2-L13,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2336,2048,,籮,箩,籮,,bamboo basket,bamboo basket,,luó,luó,RTH2-L35,RSH2-L25,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
2337,2952,1747,蠻,蛮,蛮,,barbaric,barbaric,barbarian,mán,mán,RTH2-L35,RSH2-L55,RTK1v5-L45,K = SH,SH <> TH,K key <> TH key,SH key = TH key,
2338,2404,2796,頸,颈,頚,n.,neck,neck,neck and throat,jǐng,jǐng|gěng,RTH2-L35,RSH2-L35,RTK3v2-CH02,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Variant
